Latin America & the Caribbean (IDA & IBRD countries),TLA,Individuals using the Internet (% of population),31.27745362,43.38965472,57.52467638
Timor-Leste,TLS,Individuals using the Internet (% of population),2,7,25.24624959
Middle East & North Africa (IDA & IBRD countries),TMN,Individuals using the Internet (% of population),17.69373258,26.18909979,42.99068822
Tonga,TON,Individuals using the Internet (% of population),10,30,39.95
South Asia (IDA & IBRD),TSA,Individuals using the Internet (% of population),5.166866096,11.53112865,20.23984948
Sub-Saharan Africa (IDA & IBRD countries),TSS,Individuals using the Internet (% of population),4.604498533,10.28656847,19.34122243
Trinidad and Tobago,TTO,Individuals using the Internet (% of population),44.3,59.5162,73.29694122
Tunisia,TUN,Individuals using the Internet (% of population),34.07,41.4416,49.59999484
Turkey,TUR,Individuals using the Internet (% of population),36.4,45.13,58.34773401
Tuvalu,TUV,Individuals using the Internet (% of population),20,35,46.00915151
Tanzania,TZA,Individuals using the Internet (% of population),2.4,3.95,13
Uganda,UGA,Individuals using the Internet (% of population),9.78,14.1,21.87617046
Ukraine,UKR,Individuals using the Internet (% of population),17.9,35.27,53
Upper middle income,UMC,Individuals using the Internet (% of population),28.17176875,42.41579416,55.224542
Uruguay,URY,Individuals using the Internet (% of population),41.8,54.45376868,66.4
United States,USA,Individuals using the Internet (% of population),71,74.7,85.54442129
Uzbekistan,UZB,Individuals using the Internet (% of population),11.9,23.6,46.79128694
St. Vincent and the Grenadines,VCT,Individuals using the Internet (% of population),31,40,20.68943522
"Venezuela, RB",VEN,Individuals using the Internet (% of population),32.7,49.05008307,60
British Virgin Islands,VGB,Individuals using the Internet (% of population),36,37.6,77.70142968
Virgin Islands (U.S.),VIR,Individuals using the Internet (% of population),27.39650968,40.5479,59.6083158
Vietnam,VNM,Individuals using the Internet (% of population),26.55,36.8,53
Vanuatu,VUT,Individuals using the Internet (% of population),7.5,10.598,24
World,WLD,Individuals using the Internet (% of population),25.37079429,34.22538459,44.70369974
Samoa,WSM,Individuals using the Internet (% of population),6,12.92249,29.41173011
Kosovo,XKX,Individuals using the Internet (% of population),,,
"Yemen, Rep.",YEM,Individuals using the Internet (% of population),9.96,17.4465,24.57920836
South Africa,ZAF,Individuals using the Internet (% of population),10,41,54
Zambia,ZMB,Individuals using the Internet (% of population),6.31,13.4682,25.50657885
Zimbabwe,ZWE,Individuals using the Internet (% of population),4,12,23.11998904
