,Country,Region,HPI,HPIRank,Year,Code,Internet,LifeExpect,GovHealth,PriHealth,PPP,PopDensity,UnEmployment,WomenParliamant,LaborForceFemale,SocialSupport,FreedomToChoice,Corruption
137,Venezuela,1b,52.49,36,2009,VEN,32.7,73.116,333.5986384,817.1833679,16840.28222,31.77938779,8.050000191,17.5,39.69838291,0.944540977,0.676885664,0.827593684
138,Vietnam,6c,66.52,5,2009,VNM,26.55,74.745,88.03231318,83.8325113,4074.18424,280.879324,1.736999989,25.8,47.97115793,0.815026462,0.834133863,0.837869763
139,Yemen,3b,48.09,50,2009,YEM,9.96,65.255,54.12572062,186.3975171,4221.413776,42.64723374,12.51299953,0.3,13.51743847,0.756429732,0.644228697,0.832427204
140,Zambia,4a,27.18,127,2009,ZMB,6.31,54.13,12.97985897,43.15924019,3017.024571,17.77685871,10.62300014,14,47.67201532,0.781925559,0.696183026,0.916553378
141,Zimbabwe,4a,16.59,143,2009,ZWE,4,48.449,..,..,1581.161558,32.38197751,5.03399992,15,50.56150113,0.805780947,0.411089182,0.930817783
142,Iraq,3b,42.59,79,2009,IRQ,1.06,68.34,348.051701,100.5634571,12287.72965,66.70925124,8.812999725,25.5,14.41393124,0.861746132,0.431467623,0.854340255
143,Serbia,7b,47.63,58,2009,SRB,38.1,73.98536585,720.8293903,444.823688,12536.50405,83.70463069,16.1420002,21.6,43.74748455,0.770126104,0.372881293,0.960977912
144,Albania,7b,47.91,54,2012,ALB,54.65595904,77.252,275.2521701,323.9775711,10526.2356,105.8540511,13.3760004,15.7,42.46876885,0.784501791,0.601512134,0.847675204
145,Algeria,3a,51.23,40,2012,DZA,18.2,75.436,586.5958374,217.4799714,13479.68058,15.69604029,10.97000027,31.6,18.82684822,0.839396894,0.586663485,0.690116346
146,Angola,4a,26.78,130,2012,AGO,6.5,57.236,106.0316484,52.9227892,6772.528333,20.13951311,7.359000206,34.1,49.29015106,0.752592862,0.456028581,0.906300485
147,Argentina,1b,58.95,15,2012,ARG,55.8,75.598,1201.141864,436.9200207,19764.22501,15.2495427,7.217000008,37.4,41.3492506,0.901776373,0.747498393,0.816546202
148,Armenia,7a,48.28,48,2012,ARM,37.5,73.82,117.8586601,373.2987081,7649.061531,101.3076572,17.30999947,10.7,47.16753963,0.676446438,0.501863778,0.892544389
149,Australia,2a,36.64,102,2012,AUS,79,82.04634146,2561.002489,1231.063679,42826.78958,2.95920037,5.223999977,24.7,45.42709748,0.944599032,0.935146272,0.368251741
150,Austria,2c,47.69,57,2012,AUT,80.02999392,80.93658537,3461.928497,1288.652907,46457.34578,102.1148654,4.864999771,27.9,46.50652549,0.945142388,0.919703901,0.770585775
